content,platform,scheduled_date,media_note
"You know that feeling the night before an IEP meeting? Lying there thinking, what do I even show these parents?",Instagram;Facebook,,
"Five minutes before an IEP meeting used to mean flipping through a folder hoping I had something good in there.",Instagram;Facebook,,"record talking head, 25 to 30 seconds"
"A parent doesn't want to hear ""making progress."" They want to see it.",Instagram;Facebook,,"record talking head, 20 to 25 seconds"
"I have no idea what to show these parents.",Instagram;Facebook,,
"Prove it.",Instagram;Facebook,,
"An IEP meeting, before and after: from a folder of loose paper and a feeling, to a chart you built without trying.",Instagram;Facebook,,
"This is what documenting a behavior goal looks like on a normal Tuesday, and it takes four seconds.",Instagram;Facebook,,"record talking head, in-classroom demo, 25 to 30 seconds"
"Nobody talks about what happens right after a CPI hold, and somebody has to write it up.",Instagram;Facebook,,"record talking head, handle with care, 30 to 40 seconds"
"How do you know it's time to write a new goal, before you're three months late writing it?",Instagram;Facebook,,"record talking head, 25 to 30 seconds"
"You're not the only one in that room collecting data, so why are you the only one who can log it?",Instagram;Facebook,,"record talking head, 20 to 25 seconds"
"Captured in the moment, not reconstructed at 6pm.",Instagram;Facebook,,
"What a voice note actually captures, step by step.",Instagram;Facebook,,
"What Captured tracks without you doing anything extra.",Instagram;Facebook,,
"I've bought the cute tracker from Teachers Pay Teachers too. It doesn't fix the problem.",Instagram;Facebook,,"record talking head, 25 to 30 seconds"
"Caseloads that get larger and larger every year, and nobody's adding an hour to your day to document it.",Instagram;Facebook,,"record talking head, 25 to 30 seconds"
"The worst part of the paper tracker isn't losing it. It's typing everything into your school's system a second time.",Instagram;Facebook,,"record talking head, 20 to 25 seconds"
"I talked to an administrator whose department ended the school year three hundred thousand service minutes behind.",Instagram;Facebook,,"record talking head, 30 to 35 seconds"
"Lost, hard to read, or three months out of date. Pick one.",Instagram;Facebook,,
"What a real documentation system has to do.",Instagram;Facebook,,
"The paper tracker system, honestly.",Instagram;Facebook,,
"I didn't build this because I saw a gap in the market. I built it because I lived in the gap.",Instagram;Facebook,,"record talking head, 30 to 35 seconds"
"I spent two years as a para for nonverbal autistic students before I ever became a teacher.",Instagram;Facebook,,"record talking head, 30 to 35 seconds"
"Spell to Communicate and AAC devices taught me something that has nothing to do with technology.",Instagram;Facebook,,"record talking head, 25 to 30 seconds"
"We ask special education teachers to do more with less every single year, and then hand them the least efficient tools in the building to prove they did it.",Instagram;Facebook,,"record talking head, 25 to 30 seconds"
"We had our own flow.",Instagram;Facebook,,
"21 years in special education taught me a few things.",Instagram;Facebook,,
"Who's actually behind Captured?",Instagram;Facebook,,
"People think Special Education is highly valued. It's the opposite.",Instagram;Facebook,,
"42 people signed up for Captured before there was anything to demo, most of them certified special education teachers.",Instagram;Facebook,,"record talking head, 20 to 25 seconds"
"Hey, let me show you how.",Instagram;Facebook,,
